Date,A,B,C,D,E,F,G
Jan-19,"980,441","1,719,468","976,258","1,435,336","308,112","2,870,217","1,687,237"
Feb-19,"884,715","1,719,141","915,753","1,463,494","283,369","2,494,840","283,077"
Mar-19,"965,976","1,693,832","1,010,193","1,433,994","248,319","2,883,080","416,207"
Apr-19,"932,532","1,755,145","1,198,849","1,558,858","251,356","2,824,923","543,487"
May-19,"798,878","1,721,798","993,318","1,430,408","282,061","2,813,566","643,195"
Jun-19,"759,157","1,735,418","972,627","1,401,386","287,156","2,645,262","354,908"
Jul-19,"1,175,695","1,688,440","1,082,616","1,329,481","225,794","2,820,502","561,547"
Aug-19,"693,601","1,636,013","994,097","1,366,808","226,228","2,691,479","396,205"
Sep-19,"945,164","1,628,534","1,108,527","1,354,910","331,022","2,771,182","528,999"
Oct-19,"952,373","1,682,544","1,056,696","1,485,642","318,245","2,804,644","428,156"
Nov-19,"751,497","1,709,128","1,102,988","1,443,383","270,592","2,912,109","899,229"
Dec-19,"896,690","1,436,268","1,022,004","1,165,243","197,649","4,318,861","686,578"
Jan-20,"744,225","1,750,288","1,058,097","1,387,613","255,218","3,618,799","680,615"
Feb-20,"777,636","1,765,786","1,070,686","1,337,347","321,605","3,527,616","559,974"
Mar-20,"768,820","1,775,676","1,037,648","1,366,310","346,271","3,723,878","669,187"
Apr-20,"433,115","1,816,565","1,030,652","1,341,073","190,831","3,412,182","531,946"
May-20,"463,764","1,791,583","999,918","1,305,478","228,058","3,439,230","616,999"
Jun-20,"771,316","1,763,678","1,094,473","1,368,356","190,111","3,413,528","1,316,203"
Jul-20,"750,187","1,829,971","986,115","1,251,990","205,192","3,470,233","571,197"
Aug-20,"625,469","1,782,673","1,009,577","1,277,191","202,464","3,297,622","526,695"
Sep-20,"754,676","1,801,637","1,068,643","1,327,118","225,993","3,287,163","684,663"
Oct-20,"725,754","1,768,582","1,005,629","1,332,622","239,656","3,281,158","525,716"
Nov-20,"709,875","1,715,484","1,021,677","1,263,369","209,573","3,207,119","796,338"
Dec-20,"745,508","1,845,685","1,043,944","1,277,559","211,256","2,833,705","717,691"
Jan-21,"674,116","1,769,394","1,002,446","1,302,552","355,118","3,205,873","526,281"
Feb-21,"632,064","1,744,411","1,001,228","1,288,918","255,095","3,048,338","533,987"
Mar-21,"695,386","1,739,702","1,160,490","1,297,767","332,660","3,137,809","852,686"
Apr-21,"580,767","1,718,165","1,003,400","1,246,194","299,995","2,926,634","625,224"
May-21,"557,605","1,792,631","994,573","1,290,216","226,929","2,951,479","617,880"
Jun-21,"650,128","1,748,475","1,014,313","1,266,232","242,250","2,892,224","664,972"
Jul-21,"506,523","1,754,473","897,983","1,315,675","148,686","2,946,781","456,783"
Aug-21,"586,921","1,750,193","974,805","1,321,596","230,901","2,893,330","481,525"
Sep-21,"601,064","1,755,279","964,996","1,341,950","313,616","2,804,875","590,244"
Oct-21,"544,843","1,744,934","950,299","1,294,498","238,405","2,711,404","506,346"
Nov-21,"544,784","1,722,711","1,022,539","1,396,289","240,343","2,811,180","1,095,969"
Dec-21,"544,686","1,738,205","997,624","1,385,094","184,705","2,628,686","693,745"
Jan-22,"527,880","1,736,450","974,054","1,358,567","344,218","2,703,028","512,591"
Feb-22,"485,407","1,713,786","987,399","1,368,346","409,598","2,574,748","620,422"
Mar-22,"561,241","1,854,696","1,023,495","1,330,515","375,348","2,719,927","743,367"
Apr-22,"430,655","1,771,309","972,631","1,346,472","268,973","2,481,022","627,352"
May-22,"468,841","1,727,808","954,517","1,320,065","260,218","2,407,874","529,655"
Jun-22,"514,638","1,778,485","1,006,827","1,334,626","268,440","3,096,601","728,218"
Jul-22,"402,234","1,721,853","955,329","1,309,338","238,504","2,569,004","514,767"
Aug-22,"486,697","1,797,099","948,427","1,319,555","203,914","2,477,725","627,188"
Sep-22,"464,632","1,732,678","1,021,572","1,344,961","308,264","2,388,441","863,241"
Oct-22,"457,730","1,732,854","853,099","1,374,215","310,758","2,422,439","558,920"
Nov-22,"443,710","1,767,482","1,093,686","1,249,843","368,482","2,582,343","869,249"
Dec-22,"410,066","1,561,780","1,152,928","1,348,223","204,404","2,482,886","897,834"
Jan-23,"420,801","1,596,430","1,061,246","1,381,556","380,559","2,391,486","581,134"
Feb-23,"373,888","1,635,489","1,091,517","1,362,249","361,923","2,386,519","611,076"
Mar-23,"399,029","1,622,976","1,089,051","1,395,149","330,184","2,413,398","875,847"
Apr-23,"294,924","1,681,837","1,098,478","1,386,847","238,277","2,449,344","790,136"
May-23,"404,149","1,628,490","1,064,136","1,384,944","302,920","2,448,290","641,727"
Jun-23,"341,617","1,631,962","1,019,731","1,399,294","258,097","2,459,981","837,074"
Jul-23,"361,284","1,686,805","1,082,470","1,364,877","277,770","2,524,712","714,379"
Aug-23,"374,351","1,667,948","1,056,995","1,346,181","250,584","2,533,356","1,053,061"
Sep-23,"477,192","1,690,480","1,121,196","1,372,850","281,358","2,503,210","1,004,083"
Oct-23,"394,129","1,614,429","1,091,152","1,373,615","335,797","2,499,098","944,130"
Nov-23,"344,438","1,492,610","1,023,324","1,406,144","271,814","2,289,222","973,271"
Dec-23,"312,717","1,653,532","1,200,929","1,401,755","229,038","2,420,241","1,295,980"
