sales_date,brand_name,total_devices,total_upfront_amount,total_full_device_amount
2020-01-01,Apple,13,760.0,4816.0
2020-01-01,Samsung,6,210.0,2860.0
2020-01-02,Apple,8,370.0,3039.0
2020-01-02,Samsung,6,350.0,2705.0
2020-01-03,Apple,4,250.0,1384.0
2020-01-03,Samsung,1,100.0,420.0
2020-01-04,Apple,11,520.0,4084.0
2020-01-04,Samsung,4,120.0,1525.0
2020-01-05,Apple,12,440.0,4578.0
2020-01-05,Samsung,5,240.0,2425.0
2020-01-06,1+,1,30.0,200.0
2020-01-06,Apple,11,500.0,4138.0
2020-01-06,HUAWEI,1,30.0,262.0
2020-01-06,Samsung,5,180.0,2100.0
2020-01-07,Apple,7,150.0,2631.0
2020-01-07,Samsung,2,150.0,790.0
2020-01-08,1+,1,100.0,200.0
2020-01-08,Apple,31,1680.0,13202.0
2020-01-08,Samsung,8,370.0,3700.0
2020-01-09,Apple,43,2543.0,19245.0
2020-01-09,Samsung,4,250.0,1490.0
2020-01-10,Apple,21,1010.0,9717.0
2020-01-10,Samsung,1,0.0,760.0
2020-01-11,Apple,3,210.0,1392.0
2020-01-12,Apple,5,180.0,2302.0
2020-01-12,Samsung,1,100.0,420.0
2020-01-13,Apple,9,690.0,3953.0
2020-01-14,Apple,11,480.0,4862.0
2020-01-14,Samsung,2,150.0,840.0
2020-01-15,1+,1,30.0,200.0
2020-01-15,Apple,40,1700.0,17055.0
2020-01-15,Samsung,3,160.0,1600.0
2020-01-16,Apple,76,3470.0,33995.0
2020-01-16,Samsung,3,160.0,1600.0
2020-01-17,Apple,12,670.0,5346.0
2020-01-18,Apple,26,1295.0,11585.0
2020-01-18,Samsung,2,60.0,840.0
2020-01-19,Apple,53,2710.0,22612.0
2020-01-19,HUAWEI,1,80.0,150.0
2020-01-19,Samsung,4,240.0,2020.0
2020-01-20,Apple,52,2499.0,23525.0
2020-01-20,Samsung,2,120.0,840.0
2020-01-21,Apple,35,1530.0,15835.0
2020-01-21,Samsung,3,240.0,1245.0
2020-01-22,Apple,62,3333.0,27259.0
2020-01-23,Apple,76,3950.0,33417.0
2020-01-23,HUAWEI,1,60.0,357.0
2020-01-23,Samsung,3,110.0,1265.0
2020-01-24,Apple,19,1090.0,8447.0
2020-01-24,HUAWEI,1,0.0,262.0
2020-01-24,Samsung,1,0.0,760.0
2020-01-25,Apple,35,1980.0,15759.0
2020-01-26,Apple,69,3230.0,30278.0
2020-01-26,Samsung,1,100.0,760.0
2020-01-27,Apple,42,2020.0,17606.0
2020-01-27,HUAWEI,2,30.0,524.0
2020-01-27,Samsung,1,60.0,370.0
2020-01-28,Apple,51,2939.0,21476.0
2020-01-29,Apple,59,3010.0,25895.0
2020-01-29,Samsung,3,240.0,972.0
2020-01-30,Apple,56,3290.0,23961.0
2020-01-30,Samsung,1,30.0,425.0
2020-01-31,Apple,26,1636.0,11276.0
2020-01-31,Samsung,3,150.0,1110.0
2020-02-01,Apple,30,2043.0,12342.0
2020-02-01,HUAWEI,1,30.0,150.0
2020-02-02,Apple,50,2890.0,22286.0
2020-02-02,Samsung,1,60.0,420.0
2020-02-03,Apple,64,3955.0,27784.0
2020-02-04,Apple,49,2812.0,22545.0
2020-02-04,HUAWEI,1,0.0,357.0
2020-02-04,Samsung,1,30.0,280.0
2020-02-05,Apple,56,3803.0,24353.0
2020-02-05,Samsung,1,60.0,370.0
2020-02-06,Apple,41,2430.0,16858.0
2020-02-06,HUAWEI,1,120.0,262.0
2020-02-07,Apple,17,1080.0,6425.0
2020-02-08,Apple,20,1410.0,7265.0
2020-02-08,Samsung,1,120.0,370.0
2020-02-09,Apple,41,1860.0,15908.0
2020-02-09,Samsung,1,60.0,425.0
2020-02-10,Apple,23,1200.0,10073.0
2020-02-10,Samsung,1,60.0,287.0
2020-02-11,Apple,28,2053.0,12041.0
2020-02-11,Samsung,2,90.0,567.0
2020-02-12,Apple,35,1948.0,14775.0
2020-02-12,Samsung,17,1035.0,7593.0
2020-02-13,Apple,33,1690.0,13930.0
2020-02-13,Samsung,14,680.0,6064.0
2020-02-14,Apple,6,350.0,2726.0
2020-02-14,Samsung,1,100.0,475.0
2020-02-15,Apple,16,900.0,6468.0
2020-02-15,Samsung,2,120.0,624.0
2020-02-16,Apple,27,1680.0,11248.0
2020-02-16,Samsung,4,290.0,1570.0
2020-02-17,Apple,21,1732.0,9554.0
2020-02-17,Samsung,2,60.0,979.0
2020-02-18,Apple,29,1680.0,11905.0
2020-02-18,Samsung,6,270.0,2881.0
2020-02-19,Apple,31,1350.0,13426.0
2020-02-19,Samsung,1,30.0,560.0
2020-02-20,Apple,35,1600.0,13471.0
2020-02-20,Samsung,7,330.0,3140.0
2020-02-21,Apple,2,60.0,739.0
2020-02-21,HUAWEI,1,50.0,150.0
2020-02-22,Apple,17,540.0,6785.0
2020-02-22,Samsung,8,350.0,3805.0
2020-02-23,Apple,49,1260.0,18632.0
2020-02-23,Samsung,8,420.0,3431.0
2020-02-24,1+,1,0.0,200.0
2020-02-24,Apple,47,1860.0,20868.0
2020-02-24,Samsung,1,30.0,475.0
2020-02-25,Apple,30,1270.0,12429.0
2020-02-25,HUAWEI,2,0.0,798.0
2020-02-25,Samsung,2,60.0,875.0
2020-02-26,Apple,48,2353.0,21098.0
2020-02-26,HUAWEI,3,90.0,1197.0
2020-02-26,Samsung,1,475.0,475.0
2020-02-27,Apple,35,1300.0,15538.0
2020-02-27,HUAWEI,6,150.0,2394.0
2020-02-27,Samsung,1,50.0,420.0
2020-02-28,Apple,11,430.0,4502.0
2020-02-28,HUAWEI,9,320.0,3591.0
2020-02-28,Samsung,2,30.0,635.0
2020-02-29,Apple,22,1010.0,8787.0
2020-02-29,HUAWEI,4,90.0,1596.0
2020-03-01,Apple,52,2140.0,21551.0
2020-03-01,HUAWEI,11,150.0,4389.0
2020-03-01,Samsung,2,170.0,825.0
2020-03-02,Apple,62,2680.0,26547.0
2020-03-02,HUAWEI,5,200.0,1995.0
2020-03-02,Samsung,2,160.0,665.0
2020-03-03,Apple,50,1900.0,20071.0
2020-03-03,HUAWEI,4,160.0,1596.0
2020-03-03,Samsung,2,0.0,949.0
2020-03-04,Apple,42,1490.0,18241.0
2020-03-04,HUAWEI,2,180.0,798.0
2020-03-04,Samsung,2,60.0,999.0
2020-03-05,Apple,53,2490.0,23367.0
2020-03-05,HUAWEI,6,130.0,2383.0
2020-03-05,Samsung,5,320.0,1827.0
2020-03-06,Apple,19,630.0,8241.0
2020-03-06,HUAWEI,2,80.0,787.0
2020-03-06,Samsung,1,30.0,400.0
2020-03-07,Apple,12,600.0,5449.0
2020-03-07,HUAWEI,3,160.0,1197.0
2020-03-07,Samsung,2,30.0,680.0
2020-03-08,Apple,22,810.0,10527.0
2020-03-08,HUAWEI,1,0.0,399.0
2020-03-08,Samsung,5,200.0,1764.0
2020-03-09,Apple,28,1020.0,12306.0
2020-03-09,HUAWEI,1,100.0,399.0
2020-03-09,Samsung,3,130.0,1297.0
2020-03-10,Apple,15,580.0,6240.0
2020-03-10,HUAWEI,3,150.0,1197.0
2020-03-10,Samsung,3,60.0,1220.0
2020-03-11,Apple,19,600.0,7675.0
2020-03-11,HUAWEI,3,110.0,1197.0
2020-03-11,Samsung,2,120.0,850.0
2020-03-12,Apple,31,1350.0,13019.0
2020-03-12,Samsung,4,170.0,1515.0
2020-03-13,Apple,6,250.0,2344.0
2020-03-13,HUAWEI,1,30.0,388.0
2020-03-13,Samsung,1,100.0,579.0
2020-03-14,Apple,8,350.0,2947.0
2020-03-14,HUAWEI,1,30.0,399.0
2020-03-15,1+,1,30.0,200.0
2020-03-15,Apple,16,850.0,6502.0
2020-03-15,HUAWEI,2,100.0,798.0
2020-03-15,Samsung,6,150.0,2486.0
2020-03-16,Apple,18,820.0,7198.0
2020-03-17,Apple,20,840.0,8444.0
2020-03-17,HUAWEI,2,0.0,798.0
2020-03-17,Samsung,1,30.0,400.0
2020-03-18,Apple,25,1070.0,10566.0
2020-03-18,Samsung,2,200.0,740.0
2020-03-19,ALCATEL ONETOUCH,1,0.0,49.0
2020-03-19,Apple,25,990.0,10693.0
2020-03-19,HUAWEI,2,0.0,798.0
2020-03-19,Samsung,2,130.0,617.0
2020-03-20,Apple,11,420.0,5217.0
2020-03-21,Apple,18,810.0,7530.0
2020-03-21,Samsung,2,60.0,800.0
2020-03-22,Apple,7,240.0,2853.0
2020-03-23,ALCATEL,25,0.0,600.0
2020-03-23,ALCATEL ONETOUCH,49,0.0,2401.0
2020-03-23,Apple,15,460.0,6839.0
2020-03-24,Apple,6,120.0,2694.0
2020-03-24,Samsung,1,0.0,370.0
2020-03-25,ALCATEL,91,0.0,2184.0
2020-03-25,Apple,14,460.0,6133.0
2020-03-25,HUAWEI,1,60.0,399.0
2020-03-26,ALCATEL,5,0.0,120.0
2020-03-26,Apple,19,990.0,8056.0
2020-03-26,Samsung,5,0.0,1937.0
2020-03-27,Apple,6,190.0,2786.0
2020-03-27,Samsung,1,0.0,400.0
2020-03-28,Apple,4,120.0,1516.0
2020-03-29,Apple,12,430.0,4637.0
2020-03-29,Samsung,1,0.0,450.0
2020-03-30,Apple,15,520.0,6249.0
2020-03-30,Samsung,6,190.0,2370.0
2020-03-31,ALCATEL,3,0.0,72.0
2020-03-31,Apple,5,180.0,1740.0
2020-03-31,Samsung,3,130.0,1350.0
2020-04-01,Apple,11,703.0,4739.0
2020-04-01,Samsung,2,0.0,674.0
2020-04-02,Apple,9,220.0,4208.0
2020-04-02,HUAWEI,14,180.0,5026.0
2020-04-02,Samsung,3,60.0,1425.0
2020-04-03,Apple,10,270.0,4643.0
2020-04-03,HUAWEI,5,90.0,1795.0
2020-04-03,Samsung,2,130.0,900.0
2020-04-04,Apple,8,270.0,3634.0
2020-04-04,HUAWEI,5,120.0,1795.0
2020-04-04,Samsung,7,150.0,3062.0
2020-04-05,Apple,21,1106.0,8974.0
2020-04-05,HUAWEI,24,1178.0,8616.0
2020-04-05,Samsung,5,210.0,2300.0
2020-04-06,Apple,19,1190.0,8056.0
2020-04-06,HUAWEI,8,958.0,2872.0
2020-04-06,Samsung,7,420.0,3087.0
2020-04-07,Apple,8,220.0,3495.0
2020-04-07,HUAWEI,8,240.0,2872.0
2020-04-07,Samsung,4,370.0,1549.0
2020-04-08,Apple,16,710.0,7325.0
2020-04-08,HUAWEI,3,120.0,1077.0
2020-04-08,Samsung,3,160.0,1425.0
2020-04-09,Apple,18,550.0,7900.0
2020-04-09,HUAWEI,5,260.0,1795.0
2020-04-09,Samsung,5,60.0,2375.0
2020-04-10,Apple,14,610.0,6263.0
2020-04-10,HUAWEI,3,160.0,1077.0
2020-04-10,Samsung,2,0.0,875.0
2020-04-11,Apple,17,670.0,7800.0
2020-04-11,Samsung,4,0.0,1662.0
2020-04-12,Apple,18,980.0,7997.0
2020-04-12,HUAWEI,3,0.0,1077.0
2020-04-12,OPPO,1,0.0,314.0
2020-04-12,Samsung,2,100.0,850.0
2020-04-13,Apple,18,680.0,8090.0
2020-04-13,HUAWEI,2,0.0,718.0
2020-04-13,Samsung,4,220.0,1750.0
2020-04-14,Apple,12,330.0,5432.0
2020-04-14,HUAWEI,1,0.0,359.0
2020-04-14,Samsung,1,30.0,450.0
2020-04-15,Apple,13,700.0,5675.0
2020-04-15,HUAWEI,1,0.0,359.0
2020-04-15,Samsung,2,30.0,900.0
2020-04-16,Apple,13,450.0,5880.0
2020-04-16,HUAWEI,1,0.0,359.0
2020-04-16,OPPO,1,0.0,314.0
2020-04-16,Samsung,3,150.0,1400.0
2020-04-17,Apple,11,580.0,4009.0
2020-04-18,Apple,5,160.0,2004.0
2020-04-19,Apple,6,774.0,1849.0
2020-04-19,Samsung,1,30.0,475.0
2020-04-20,1+,1,0.0,200.0
2020-04-20,Apple,36,1430.0,14549.0
2020-04-20,HUAWEI,1,100.0,999.0
2020-04-20,Samsung,3,90.0,1187.0
2020-04-21,Apple,19,260.0,8270.0
2020-04-21,HUAWEI,7,460.0,3153.0
2020-04-21,Samsung,5,120.0,2430.0
2020-04-22,Apple,35,1668.0,13812.0
2020-04-22,HUAWEI,7,190.0,4433.0
2020-04-22,Samsung,5,270.0,2182.0
2020-04-23,Apple,24,1686.0,9517.0
2020-04-23,HUAWEI,2,160.0,1998.0
2020-04-23,Samsung,5,130.0,2300.0
2020-04-24,Apple,18,610.0,7133.0
2020-04-24,HUAWEI,2,120.0,1358.0
2020-04-24,Samsung,4,60.0,1875.0
2020-04-25,Apple,18,1006.0,6529.0
2020-04-25,HUAWEI,2,60.0,718.0
2020-04-25,Samsung,1,0.0,475.0
2020-04-26,Apple,19,1020.0,8157.0
2020-04-26,HUAWEI,4,60.0,2076.0
2020-04-26,Samsung,3,150.0,1212.0
2020-04-27,Apple,18,660.0,7513.0
2020-04-27,HUAWEI,2,90.0,718.0
2020-04-27,Samsung,7,535.0,3192.0
2020-04-28,Apple,21,953.0,9125.0
2020-04-28,HUAWEI,2,60.0,718.0
2020-04-28,Samsung,2,60.0,925.0
2020-04-29,Apple,23,1276.0,9060.0
2020-04-29,HTC,1,80.0,80.0
2020-04-29,HUAWEI,4,30.0,1257.0
2020-04-29,Samsung,8,220.0,3261.0
2020-04-30,Apple,23,880.0,10099.0
2020-04-30,HUAWEI,3,60.0,1077.0
2020-04-30,Samsung,5,270.0,2275.0
2020-05-01,Apple,12,540.0,4401.0
2020-05-01,HUAWEI,2,60.0,718.0
2020-05-01,Samsung,2,60.0,925.0
2020-05-02,Apple,11,570.0,4153.0
2020-05-02,HUAWEI,1,0.0,359.0
2020-05-02,Samsung,1,30.0,450.0
2020-05-03,Apple,28,1680.0,12106.0
2020-05-03,HUAWEI,2,0.0,718.0
2020-05-03,Samsung,3,240.0,1287.0
2020-05-04,1+,1,200.0,200.0
2020-05-04,Apple,31,1673.0,12265.0
2020-05-04,HUAWEI,8,340.0,2583.0
2020-05-04,Samsung,4,130.0,1900.0
2020-05-05,Apple,28,1300.0,12581.0
2020-05-05,HUAWEI,3,240.0,898.0
2020-05-05,Samsung,7,420.0,3087.0
2020-05-06,Apple,24,1290.0,10428.0
2020-05-06,HUAWEI,2,60.0,718.0
2020-05-06,Samsung,2,150.0,850.0
2020-05-07,Apple,30,1280.0,12303.0
2020-05-07,HUAWEI,1,100.0,359.0
2020-05-07,Samsung,3,160.0,1350.0
2020-05-08,Apple,12,430.0,5297.0
2020-05-08,HUAWEI,1,0.0,359.0
2020-05-08,Samsung,1,60.0,400.0
2020-05-09,Apple,20,740.0,8662.0
2020-05-09,Samsung,1,0.0,475.0
2020-05-10,Apple,30,2032.0,12138.0
2020-05-10,HUAWEI,3,190.0,1117.0
2020-05-10,Samsung,7,310.0,3325.0
2020-05-11,Apple,19,780.0,7996.0
2020-05-11,HUAWEI,4,240.0,1476.0
2020-05-11,OPPO,1,0.0,314.0
2020-05-11,Samsung,6,270.0,2562.0
2020-05-12,Apple,36,1320.0,15699.0
2020-05-12,HUAWEI,3,0.0,1157.0
2020-05-12,Samsung,7,210.0,3050.0
2020-05-13,Apple,34,970.0,14213.0
2020-05-13,HUAWEI,1,30.0,359.0
2020-05-13,Samsung,2,80.0,875.0
2020-05-14,Apple,18,780.0,8095.0
2020-05-14,HUAWEI,3,0.0,1077.0
2020-05-14,Samsung,9,450.0,3632.0
2020-05-15,Apple,23,740.0,8934.0
2020-05-15,Samsung,3,120.0,1350.0
2020-05-16,Apple,20,710.0,8645.0
2020-05-16,HUAWEI,1,0.0,359.0
2020-05-16,Samsung,1,60.0,337.0
2020-05-17,Apple,40,1540.0,17521.0
2020-05-17,Samsung,7,160.0,3304.0
2020-05-18,Apple,23,1250.0,9611.0
2020-05-18,Samsung,3,190.0,1137.0
2020-05-19,Apple,26,1636.0,10480.0
2020-05-19,HUAWEI,2,150.0,758.0
2020-05-19,Samsung,2,30.0,875.0
2020-05-20,Apple,29,1020.0,12803.0
2020-05-20,HUAWEI,2,30.0,758.0
2020-05-20,Samsung,2,200.0,800.0
2020-05-21,Apple,35,1918.0,14397.0
2020-05-21,HUAWEI,2,60.0,758.0
2020-05-21,Samsung,2,90.0,812.0
2020-05-22,Apple,25,1270.0,10618.0
2020-05-22,HUAWEI,1,50.0,359.0
2020-05-22,Samsung,3,140.0,1350.0
2020-05-23,Apple,29,1390.0,12685.0
2020-05-23,Samsung,3,60.0,1212.0
2020-05-24,Apple,7,250.0,2814.0
2020-05-26,Apple,3,30.0,1392.0
2020-05-27,Apple,56,2920.0,23043.0
2020-05-27,HUAWEI,3,60.0,1157.0
2020-05-27,OPPO,1,120.0,314.0
2020-05-27,Samsung,5,90.0,2237.0
2020-05-28,Apple,39,1910.0,16544.0
2020-05-28,HTC,1,65.0,65.0
2020-05-28,HUAWEI,2,130.0,758.0
2020-05-28,Samsung,3,120.0,1350.0
2020-05-29,Apple,18,830.0,7200.0
2020-05-29,HUAWEI,2,30.0,718.0
2020-05-29,Samsung,4,160.0,1687.0
2020-05-30,Apple,18,870.0,7942.0
2020-05-30,Samsung,3,230.0,1157.0
2020-05-31,Apple,43,2160.0,18471.0
2020-05-31,Samsung,1,0.0,475.0
2020-06-01,Apple,43,1760.0,17028.0
2020-06-01,Samsung,3,120.0,1149.0
2020-06-02,Apple,33,1700.0,14223.0
2020-06-02,HUAWEI,2,130.0,718.0
2020-06-02,Samsung,1,120.0,450.0
2020-06-03,Apple,34,1160.0,14686.0
2020-06-03,HUAWEI,2,160.0,758.0
2020-06-03,Samsung,4,90.0,1612.0
2020-06-04,Apple,42,2100.0,17178.0
2020-06-04,Samsung,4,150.0,1791.0
2020-06-05,Apple,17,1080.0,6804.0
2020-06-05,Samsung,1,0.0,475.0
2020-06-06,Apple,16,680.0,6855.0
2020-06-07,Apple,35,1798.0,14372.0
2020-06-07,Samsung,4,100.0,1770.0
2020-06-08,Apple,24,900.0,10556.0
2020-06-08,Samsung,2,30.0,787.0
2020-06-09,Apple,21,980.0,8644.0
2020-06-09,Samsung,1,30.0,475.0
2020-06-10,Apple,37,1210.0,16027.0
2020-06-10,HUAWEI,3,90.0,1106.0
2020-06-10,Samsung,7,150.0,3075.0
2020-06-11,Apple,19,730.0,8340.0
2020-06-11,Samsung,4,200.0,1725.0
2020-06-12,Apple,13,460.0,5652.0
2020-06-12,Samsung,2,0.0,1054.0
2020-06-13,Apple,9,380.0,3750.0
2020-06-14,Apple,18,940.0,7819.0
2020-06-14,Samsung,1,30.0,450.0
2020-06-15,Apple,32,1550.0,13666.0
2020-06-15,HUAWEI,1,30.0,399.0
2020-06-15,Samsung,6,150.0,2625.0
2020-06-16,Apple,66,3070.0,26463.0
2020-06-16,Samsung,3,160.0,1325.0
2020-06-17,Apple,53,2896.0,22385.0
2020-06-17,HUAWEI,4,120.0,1459.0
2020-06-17,Samsung,1,30.0,450.0
2020-06-18,Apple,43,1880.0,18689.0
2020-06-18,Samsung,2,30.0,950.0
2020-06-19,Apple,19,760.0,7201.0
2020-06-19,Samsung,1,0.0,450.0
2020-06-20,Apple,27,970.0,10792.0
2020-06-20,Samsung,1,30.0,450.0
2020-06-21,Apple,37,1810.0,15068.0
2020-06-21,HUAWEI,1,30.0,388.0
2020-06-21,Samsung,2,30.0,812.0
2020-06-22,Apple,31,1510.0,13542.0
2020-06-22,Samsung,3,160.0,1212.0
2020-06-23,Apple,39,1790.0,16613.0
2020-06-23,HUAWEI,2,130.0,787.0
2020-06-23,Samsung,1,30.0,400.0
2020-06-24,Apple,51,2600.0,21885.0
2020-06-24,Samsung,2,60.0,737.0
2020-06-25,Apple,52,2640.0,22247.0
2020-06-25,HUAWEI,1,60.0,262.0
2020-06-25,Samsung,3,0.0,1504.0
2020-06-26,Apple,21,1110.0,9194.0
2020-06-26,HUAWEI,1,60.0,359.0
