Date,EUtranCell,PSData,Users,Vendor,region,PID
2019-01-01,LM0136008F1A,4.24,3.103,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-01,LM0136008F1B,3.6,2.821,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-01,LM0136018F1C,9.53,11.91,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-01,LM0140008F1B,2.35,2.365,Huawei,SQU (Sultan Qaboos University),M0140
2019-01-01,LM0145008F1A,1.32,1.663,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-01,LM0145018F1A,3.57,5.038,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-01,LM0145018F1B,2.59,3.57,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-01,LM0145018F1C,4.24,4.629,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-01,LM0145026F1B,4.56,6.13,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-01,LM0150008F1C,9.82,8.982,Huawei,SQU (Sultan Qaboos University),M0150
2019-01-01,LM0151008F1A,3.18,2.239,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-01,LM0151008F1B,0.53,0.824,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-01,LM0151018F1A,21.67,21.774,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-01,LM0151018F1B,9.23,11.78,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-01,LM0151018F1C,41.02,40.3,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-01,LM0387008F1A,1.97,2.403,Huawei, Royal Hospital (IBS),M0387
2019-01-01,LM0387008F1C,0.45,0.394,Huawei, Royal Hospital (IBS),M0387
2019-01-01,LM0387018F1B,62.39,64.995,Huawei, Royal Hospital (IBS),M0387
2019-01-01,LM1043018F1A,43.46,51.044,Huawei,SQU (Sultan Qaboos University),M1043
2019-01-01,LM1043018F1B,5.78,6.028,Huawei,SQU (Sultan Qaboos University),M1043
2019-01-02,LM0136008F1A,2.82,3.315,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-02,LM0136008F1B,2.54,2.545,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-02,LM0136018F1C,8.76,10.912,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-02,LM0140008F1B,1.61,1.861,Huawei,SQU (Sultan Qaboos University),M0140
2019-01-02,LM0145008F1A,1.14,1.816,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-02,LM0145018F1A,2.71,4.661,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-02,LM0145018F1B,1.75,3.697,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-02,LM0145018F1C,2.18,3.983,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-02,LM0145026F1B,4.56,6.562,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-02,LM0150008F1C,7.32,7.485,Huawei,SQU (Sultan Qaboos University),M0150
2019-01-02,LM0151008F1A,2.44,1.776,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-02,LM0151008F1B,0.25,0.62,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-02,LM0151018F1A,23.36,20.523,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-02,LM0151018F1B,9.29,11.074,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-02,LM0151018F1C,32.59,34.401,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-02,LM0387008F1A,2.56,3.201,Huawei, Royal Hospital (IBS),M0387
2019-01-02,LM0387008F1C,0.48,0.549,Huawei, Royal Hospital (IBS),M0387
2019-01-02,LM0387018F1B,56.08,60.693,Huawei, Royal Hospital (IBS),M0387
2019-01-02,LM1043018F1A,49.77,54.328,Huawei,SQU (Sultan Qaboos University),M1043
2019-01-02,LM1043018F1B,4.01,5.559,Huawei,SQU (Sultan Qaboos University),M1043
